"question_id","Mean","Median","Mode","SD","direction_pct","complete_time_median","complete_time_sd","question_type","average_new_expert"
"4-q3",-2.65,-3,-3,0.59,100,8.5,7.37,"easy",-2.2
"2-q10",1.95,3,3,1.23,85,6,8.66,"easy",1
"1-q1",2,3,3,2,85,5,6.32,"easy",2.4
"2-q9",-1.95,-2,-3,1,95,6,8.66,"hard",-0.6
"5-q5",0.7,1,1,1.45,55,7.5,6.5,"hard",-0.4
"8-q10",0.1,0,0,1.55,30,7,5.33,"hard",0.8
"7-q8",-0.25,0,0,1.45,35,15.5,8.87,"hard",0.4
"6-q7",1.65,2,3,1.63,80,10.5,6.44,"easy",0.4
"3-q10",-0.4,-1,-1,0.99,60,6.5,7.78,"hard",0
"3-q2",2.6,3,3,0.82,100,6.5,7.78,"easy",0.6
"10-q9",-0.35,0,0,1.23,35,5,7.39,"hard",0
"9-q7",1.95,3,3,1.5,90,8.5,8.35,"hard",0
"8-q2",2.5,3,3,1.32,90,7,5.33,"easy",1
"5-q6",-2.45,-3,-3,1.39,95,7.5,6.5,"easy",-2.4
"3-q4",1.6,1,1,1.1,90,6.5,7.78,"hard",0.4
"7-q10",0.95,1,1,1.64,60,15.5,8.87,"easy",1.2
"0-q4",-0.4,0,-3,2.26,45,6.5,6.3,"hard",-1
"1-q10",-2.85,-3,-3,0.37,100,5,6.32,"easy",-3
"6-q2",2.5,3,3,1.05,90,10.5,6.44,"easy",2.4
"7-q9",1.3,1,3,1.87,70,15.5,8.87,"easy",1.8
"7-q6",-1.45,-2,-2,1.32,90,15.5,8.87,"easy",-1.8
"9-q4",-2.55,-3,-3,0.6,100,8.5,8.35,"easy",-2.8
"8-q9",0.45,0,0,0.94,45,7,5.33,"hard",-0.8
"0-q1",-1.4,-2,-3,1.6,75,6.5,6.3,"easy",-2.2
"10-q5",0.4,0,0,1.64,35,5,7.39,"hard",0.2
"8-q8",-1.05,-1,-1,1.32,90,7,5.33,"easy",-0.6
"10-q2",0.4,0,3,2.23,45,5,7.39,"hard",0.4
"4-q8",0.35,0,0,1.63,30,8.5,7.37,"easy",1
"1-q5",-1.6,-1,-1,1.23,85,5,6.32,"easy",-1.2
"5-q1",-1.5,-2,-3,1.57,80,7.5,6.5,"hard",0.8
"3-q1",0.15,0,0,1.27,30,6.5,7.78,"hard",-0.6
"2-q1",-2.8,-3,-3,0.41,100,6,8.66,"easy",-2.2
"3-q9",0.8,0.5,0,1.32,50,6.5,7.78,"hard",-0.4
"9-q10",1.25,1,1,1.41,80,8.5,8.35,"easy",0.6
"1-q9",0.35,0.5,1,1.18,50,5,6.32,"hard",0
"9-q2",-1,-1,-1,1.59,85,8.5,8.35,"easy",-1.4
"7-q5",1.5,1,3,1.32,70,15.5,8.87,"hard",-0.4
"7-q2",-0.1,0,3,2.2,45,15.5,8.87,"hard",-0.8
"10-q7",1.1,1,1,1.8,75,5,7.39,"hard",-0.2
"4-q6",1.45,1,1,1.1,85,8.5,7.37,"hard",0.4
"10-q3",2.75,3,3,1.12,95,5,7.39,"easy",1.6
"2-q4",0,0,0,1.89,30,6,8.66,"hard",-1
"5-q10",-2.85,-3,-3,0.37,100,7.5,6.5,"easy",-2.6
"7-q4",0.4,0.5,1,1.79,50,15.5,8.87,"easy",1.8
"9-q1",-1.25,-2,-2,1.74,80,8.5,8.35,"easy",-1.2
"6-q6",-1.1,-1,-1,1.55,90,10.5,6.44,"easy",-1.6
"0-q8",-0.15,0,0,1.31,35,6.5,6.3,"hard",-0.2
"10-q8",1.95,3,3,1.5,90,5,7.39,"hard",0.4
"9-q6",-0.6,-1,-1,1.6,65,8.5,8.35,"hard",0.2
"4-q5",1,0.5,3,1.89,50,8.5,7.37,"hard",0.6
"7-q1",-1.45,-2,-2,1.47,85,15.5,8.87,"hard",-0.2
"5-q3",3,3,3,0,100,7.5,6.5,"easy",2.6
"10-q4",0.2,0,1,1.54,45,5,7.39,"hard",0.2
"10-q1",-1.45,-2,-3,1.64,75,5,7.39,"easy",-1
"0-q10",-2.55,-3,-3,1.36,95,6.5,6.3,"easy",-3
"6-q3",0.6,0,0,0.94,40,10.5,6.44,"hard",0
"8-q1",-0.8,-1,-2,1.64,65,7,5.33,"hard",0
"5-q8",2.7,3,3,0.98,95,7.5,6.5,"easy",0.8
"1-q2",-2.1,-3,-3,1.8,90,5,6.32,"easy",-2.6
"2-q7",-1.1,-1,-3,1.8,70,6,8.66,"hard",0
"8-q7",1.85,1,1,1.09,95,7,5.33,"hard",0
"3-q5",-0.5,0,0,0.89,45,6.5,7.78,"hard",0.6
"1-q3",-2.7,-3,-3,0.57,100,5,6.32,"easy",-3
"2-q3",1.05,1,0,1.43,55,6,8.66,"easy",0.8
"9-q9",-0.4,0,0,0.75,30,8.5,8.35,"hard",0
"4-q2",-1.4,-2,-3,1.73,65,8.5,7.37,"easy",-1.2
