"question_id","Mean","Median","Mode","SD","direction_pct","complete_time_median","complete_time_sd","question_type","average_new_expert"
"3-q9",0.73,0,0,1.39,46.67,9,8.81,"hard",-0.4
"5-q6",-2.67,-3,-3,0.62,100,8,8.47,"easy",-2.4
"2-q1",-2.53,-3,-3,0.64,100,7,7.84,"easy",-2.2
"3-q5",-0.53,0,0,0.99,46.67,9,8.81,"hard",0.6
"1-q6",1.13,1,0,1.25,60,12,9.06,"easy",1.6
"10-q9",-0.47,0,0,0.99,40,15,9.1,"hard",0
"8-q7",1.73,1,1,1.1,93.33,7,4.98,"hard",0
"3-q10",-0.47,-1,-1,0.64,53.33,9,8.81,"hard",0
"1-q9",0.07,0,0,1.49,33.33,12,9.06,"hard",0
"5-q5",0.47,1,1,1.13,53.33,8,8.47,"hard",-0.4
"9-q1",-1.8,-2,-2,1.01,93.33,8,8.96,"easy",-1.2
"7-q1",-1.13,-1,-1,1.13,73.33,15,7.16,"hard",-0.2
"7-q6",-1.07,-1,-2,0.96,73.33,15,7.16,"easy",-1.8
"9-q6",-0.6,-1,-1,1.59,53.33,8,8.96,"hard",0.2
"1-q3",-2.67,-3,-3,0.62,100,9,7.68,"easy",-3
"4-q4",-2.8,-3,-3,0.41,100,12,8.67,"easy",-3
"8-q5",1.33,1,3,1.5,60,7,4.98,"easy",1.6
"8-q8",-0.93,-1,-1,1.39,86.67,7,4.98,"easy",-0.6
"7-q1",-1.67,-2,-2,1.05,93.33,5,9.04,"hard",-0.2
"5-q5",1,1,1,1.6,66.67,9,7.84,"hard",-0.4
"8-q10",-0.27,0,0,0.7,40,5,6.55,"hard",0.8
"7-q5",1.07,0,0,1.49,46.67,15,7.16,"hard",-0.4
"5-q1",-1,-2,-2,1.69,66.67,8,8.47,"hard",0.8
"9-q7",1.8,1,3,1.21,86.67,8,8.96,"hard",0
"0-q4",0.6,1,3,2.16,53.33,5,5.47,"hard",-1
"10-q7",1.67,1,1,1.18,86.67,15,9.1,"hard",-0.2
"3-q5",-0.53,-1,-1,0.92,53.33,7,6.47,"hard",0.6
"5-q3",3,3,3,0,100,8,8.47,"easy",2.6
"9-q6",-0.4,0,0,1.45,46.67,8,5.54,"hard",0.2
"0-q9",-1.53,-1,-1,0.92,93.33,5,5.47,"easy",-1.2
"9-q10",1.27,1,1,1.22,80,8,8.96,"easy",0.6
"0-q2",-0.87,-1,-2,1.36,66.67,9,5.4,"easy",-1.4
"0-q6",2.87,3,3,0.52,100,9,5.4,"easy",3
"1-q5",-1.33,-1,-1,1.05,80,12,9.06,"easy",-1.2
"1-q9",0.67,1,1,1.18,53.33,9,7.68,"hard",0
"9-q7",1.53,1,3,1.64,80,8,5.54,"hard",0
"5-q7",-2.47,-3,-3,0.74,100,9,7.84,"easy",-2
"8-q1",-0.47,-1,-1,1.36,60,7,4.98,"hard",0
"6-q1",-1.73,-2,-2,1.58,86.67,9,6.88,"easy",-1.4
"2-q4",0.27,0,0,1.22,20,6,8.46,"hard",-1
"4-q10",3,3,3,0,100,8,6.91,"easy",2.8
