"question_id","Mean","Median","Mode","SD","direction_pct","complete_time_median","complete_time_sd","question_type","average_new_expert"
"2-q10",1.5,1,3,1.54,75,6.5,8.22,"easy",1
"7-q9",0.85,1,3,2.3,55,11.5,8.21,"easy",1.8
"2-q2",2.65,3,3,1.18,95,10,8.35,"easy",2.2
"2-q9",-1.3,-1.5,-2,1.49,80,6.5,8.22,"hard",-0.6
"6-q1",-1.25,-2,-2,1.8,75,9.5,7.98,"easy",-1.4
"3-q4",1.25,1,3,1.74,75,6,5.25,"hard",0.4
"8-q7",1.6,1,3,1.5,85,9.5,7.72,"hard",0
"4-q8",0.7,0,0,1.56,45,11,9.44,"easy",1
"0-q2",-0.8,-0.5,0,1.77,50,6,6.11,"easy",-1.4
"4-q10",2.35,3,3,1.73,90,11,9.44,"easy",2.8
"4-q1",-1,-1,-1,1.45,70,11.5,6.42,"easy",-0.6
"0-q4",0.05,0,0,1.93,35,6,6.11,"hard",-1
"10-q9",-0.6,0,0,1.47,40,5.5,7.9,"hard",0
"7-q8",0.55,0,0,1.43,35,10,8.17,"hard",0.4
"10-q2",0.35,0,3,2.25,45,5.5,7.9,"hard",0.4
"3-q2",1.75,3,3,2.15,80,9,8.89,"easy",0.6
"8-q9",0.3,0,0,1.49,40,9.5,7.72,"hard",-0.8
"10-q7",1.45,1,3,1.76,80,10,7.33,"hard",-0.2
"9-q4",-1.45,-2.5,-3,2.21,75,7,7.42,"easy",-2.8
"10-q8",1.2,1,3,1.85,75,5.5,7.9,"hard",0.4
"5-q3",3,3,3,0,100,8,7.54,"easy",2.6
"10-q7",1.1,1,1,1.33,70,5.5,7.9,"hard",-0.2
"9-q5",-2.5,-3,-3,1.4,95,7,7.42,"easy",-3
"10-q3",2.3,3,3,1.59,90,10,7.33,"easy",1.6
"6-q3",1.3,1,3,1.56,60,6.5,6.09,"hard",0
"4-q8",-0.25,0,0,1.83,35,11.5,6.42,"easy",1
"9-q2",-0.9,-1,-1,1.59,75,7,7.42,"easy",-1.4
"0-q9",-1.15,-1,-1,1.57,90,7.5,6.47,"easy",-1.2
"7-q1",-0.55,-1,-2,2.11,60,11.5,8.21,"hard",-0.2
"0-q4",0,0,3,2.22,45,7.5,6.47,"hard",-1
"8-q10",-0.05,0,0,1.5,30,6.5,4.82,"hard",0.8
"9-q6",-0.35,-1,-1,1.87,55,7,7.42,"hard",0.2
"0-q8",-0.45,0,0,1.32,45,6,6.11,"hard",-0.2
"3-q3",0.9,1,1,1.62,65,9,8.89,"easy",0.6
"8-q9",0.9,1,0,1.52,55,6.5,4.82,"hard",-0.8
"3-q10",-0.6,-1,-1,1.39,55,6,5.25,"hard",0
"3-q1",0.25,0,0,1.77,35,9,8.89,"hard",-0.6
"10-q3",2.65,3,3,1.18,95,5.5,7.9,"easy",1.6
"1-q5",-1.6,-1.5,-1,1.1,90,9,9.21,"easy",-1.2
"1-q7",-2.2,-3,-3,1.58,90,9,9.21,"easy",-2
"4-q4",-2.15,-3,-3,1.81,90,11.5,6.42,"easy",-3
"7-q2",-0.2,-0.5,-2,2.28,50,10,8.17,"hard",-0.8
"4-q6",0.9,1,1,1.52,75,11.5,6.42,"hard",0.4
"9-q7",1.5,2,3,1.79,75,7,7.42,"hard",0
"3-q9",1.05,1,3,1.73,60,6,5.25,"hard",-0.4
"8-q8",-0.1,-1,-1,1.94,65,9.5,7.72,"easy",-0.6
"6-q3",0.45,0,0,1.19,45,9.5,7.98,"hard",0
"7-q1",-0.9,-1,-2,1.89,75,10,8.17,"hard",-0.2
"1-q2",-1.55,-2,-3,2.11,80,6,6.92,"easy",-2.6
"0-q2",-1.2,-2,-2,1.67,80,7.5,6.47,"easy",-1.4
"3-q10",-0.3,-0.5,-1,1.08,50,9,8.89,"hard",0
"10-q1",-0.55,-1.5,-3,2.42,55,5.5,7.9,"easy",-1
"6-q5",-2.75,-3,-3,0.44,100,9.5,7.98,"easy",-2.2
"1-q10",-2.5,-3,-3,1.36,95,9,9.21,"easy",-3
"5-q2",-2,-3,-3,1.86,85,8,7.54,"easy",-1.8
"4-q2",-1.15,-2,-3,2.08,70,11,9.44,"easy",-1.2
"6-q2",2.35,3,3,1.23,90,6.5,6.09,"easy",2.4
"10-q8",1.65,3,3,1.98,80,10,7.33,"hard",0.4
"0-q10",-2.1,-3,-3,1.8,90,7.5,6.47,"easy",-3
"8-q7",1.1,1,1,1.45,80,6.5,4.82,"hard",0
"7-q4",0.5,0.5,3,2.21,50,11.5,8.21,"easy",1.8
"10-q5",0.25,0,0,1.41,30,10,7.33,"hard",0.2
"8-q2",1.75,3,3,1.77,80,9.5,7.72,"easy",1
"7-q6",-0.6,-1,-1,1.76,75,10,8.17,"easy",-1.8
"1-q6",0.45,0.5,3,1.93,50,6,6.92,"easy",1.6
"2-q7",-0.65,-0.5,0,1.95,50,6.5,8.22,"hard",0
"3-q5",-0.45,-1,-1,1.67,55,6,5.25,"hard",0.6
"9-q10",1.2,1,3,1.82,70,8,8.96,"easy",0.6
"7-q10",1.65,1,1,1.18,85,10,8.17,"easy",1.2
"0-q1",-1.15,-1.5,-2,1.57,65,6,6.11,"easy",-2.2
"1-q5",-1.3,-1.5,-3,1.84,75,6,6.92,"easy",-1.2
"7-q5",1.4,2,3,1.88,65,11.5,8.21,"hard",-0.4
"1-q9",1,1,1,1.34,60,6,6.92,"hard",0
"3-q5",-0.5,0,0,0.95,40,9,8.89,"hard",0.6
"2-q4",0.7,0,0,1.49,40,6.5,8.22,"hard",-1
"2-q4",-0.5,0,0,1.47,35,10,8.35,"hard",-1
"4-q5",0.05,0,0,1.61,30,11.5,6.42,"hard",0.6
"8-q4",1.85,3,3,1.46,85,6.5,4.82,"easy",1.6
"10-q4",0.25,0.5,1,1.92,50,5.5,7.9,"hard",0.2
"5-q8",2.5,3,3,0.89,100,8.5,8.72,"easy",0.8
"0-q6",2.35,3,3,1.73,90,6,6.11,"easy",3
"8-q5",1.3,2,3,1.89,55,6.5,4.82,"easy",1.6
"9-q6",-0.1,0,-1,1.97,45,8,8.96,"hard",0.2
"9-q1",-0.35,-1,-2,2.28,60,8,8.96,"easy",-1.2
"0-q8",0,0,0,1.38,40,7.5,6.47,"hard",-0.2
"7-q5",1.35,1,3,1.69,65,10,8.17,"hard",-0.4
"7-q4",0.7,0.5,0,1.42,50,10,8.17,"easy",1.8
"1-q9",-0.15,0,0,1.57,35,9,9.21,"hard",0
"2-q7",-0.95,-1,-1,1.7,70,10,8.35,"hard",0
"6-q8",1.15,1,3,2.08,70,6.5,6.09,"easy",1
"5-q10",-2.75,-3,-3,0.55,100,8,7.54,"easy",-2.6
"7-q8",-0.3,0,0,1.63,40,11.5,8.21,"hard",0.4
"3-q8",-1.6,-2,-3,2.06,85,9,8.89,"easy",-1.8
"4-q5",1.05,1,3,2.09,55,11,9.44,"hard",0.6
"7-q2",0.3,0,3,2.3,40,11.5,8.21,"hard",-0.8
"9-q7",2,3,3,1.41,90,8,8.96,"hard",0
"0-q10",-2.2,-3,-3,1.64,85,6,6.11,"easy",-3
"5-q3",2.8,3,3,0.89,95,8.5,8.72,"easy",2.6
"2-q9",-1.5,-1,-1,1.43,90,10,8.35,"hard",-0.6
"2-q6",3,3,3,0,100,10,8.35,"easy",3
"2-q1",-2.35,-3,-3,1.5,90,10,8.35,"easy",-2.2
"8-q10",-0.2,0,0,1.7,40,9.5,7.72,"hard",0.8
"3-q9",0.25,0,1,1.68,45,9,8.89,"hard",-0.4
"3-q4",1,1,1,1.59,75,9,8.89,"hard",0.4
"6-q6",-0.95,-1,-1,1.88,80,6.5,6.09,"easy",-1.6
"9-q9",-0.65,0,0,1.42,40,7,7.42,"hard",0
"5-q6",-2.05,-3,-3,1.9,85,8.5,8.72,"easy",-2.4
"4-q3",-1.7,-2,-3,1.81,85,11,9.44,"easy",-2.2
"5-q7",-2.15,-2.5,-3,1.14,90,8,7.54,"easy",-2
"5-q5",0.45,0.5,1,1.23,50,8.5,8.72,"hard",-0.4
"1-q3",-2.4,-3,-3,0.75,100,9,9.21,"easy",-3
"8-q1",0.15,-1,3,2.21,60,9.5,7.72,"hard",0
"6-q7",1.25,2,3,2.1,70,6.5,6.09,"easy",0.4
"10-q4",0.1,0,0,1.65,35,10,7.33,"hard",0.2
"3-q1",0.05,0,-1,1.93,45,6,5.25,"hard",-0.6
"0-q7",-1.05,-1.5,-3,1.93,65,6,6.11,"easy",-1.4
"9-q5",-2.25,-3,-3,1.83,90,8,8.96,"easy",-3
"10-q9",0.25,0,0,1.29,25,10,7.33,"hard",0
"1-q7",-1.95,-3,-3,1.88,90,6,6.92,"easy",-2
"0-q9",-1,-1,-1,1.65,75,6,6.11,"easy",-1.2
"4-q6",1.05,1,3,1.79,65,11,9.44,"hard",0.4
"2-q3",1.35,1,1,1.18,75,6.5,8.22,"easy",0.8
"9-q9",-0.6,0,0,1.7,45,8,8.96,"hard",0
"5-q1",-1.1,-1.5,-2,1.83,70,8,7.54,"hard",0.8
"8-q1",-0.55,-0.5,0,1.61,50,6.5,4.82,"hard",0
"6-q10",-0.55,-1,-1,1.15,60,9.5,7.98,"easy",-0.4
"1-q1",1.8,3,3,2.19,85,6,6.92,"easy",2.4
"5-q5",0.9,1,1,1.74,60,8,7.54,"hard",-0.4
"10-q2",-0.2,0,-2,2.12,40,10,7.33,"hard",0.4
"5-q1",-1.25,-1,0,1.37,65,8.5,8.72,"hard",0.8
"8-q5",1.55,1,3,1.28,75,9.5,7.72,"easy",1.6
"10-q5",0.45,0,0,1.79,35,5.5,7.9,"hard",0.2
