"question_id","Mean","Median","Mode","SD","direction_pct","complete_time_median","complete_time_sd","question_type","average_new_expert"
"6-q3",0.8,1,1,1.48,60,16.5,8.51,"hard",0
"9-q2",-1.7,-1,-1,0.95,100,8,7.4,"easy",-1.4
"8-q8",-1.3,-1,-1,0.67,100,6,5.56,"easy",-0.6
"4-q6",1.9,2,3,1.2,90,12.5,9.27,"hard",0.4
"0-q4",0.5,0.5,3,2.42,50,5.5,5.1,"hard",-1
"0-q1",-1.8,-2,-2,0.92,90,5.5,6.33,"easy",-2.2
"2-q1",-2.7,-3,-3,0.48,100,6,2.69,"easy",-2.2
"10-q2",0.9,2,3,2.51,60,5,4.38,"hard",0.4
"3-q9",0.4,0,0,1.07,30,6.5,3.56,"hard",-0.4
"10-q4",-0.2,0,0,1.69,40,5,4.38,"hard",0.2
"8-q10",0.3,0,0,1.57,20,7,6.2,"hard",0.8
"2-q4",-0.6,0,0,1.07,30,6,2.69,"hard",-1
"6-q6",-1.7,-1.5,-1,0.82,100,9.5,5.91,"easy",-1.6
"4-q8",0.8,0,0,1.23,40,11.5,7.21,"easy",1
"8-q2",2.5,3,3,1.08,90,7,6.2,"easy",1
"0-q8",-0.3,0,0,0.82,30,5.5,5.1,"hard",-0.2
"0-q7",-1,-2,-3,2.31,70,5.5,6.33,"easy",-1.4
"5-q7",-1.8,-2,-2,1.23,90,6.5,8.59,"easy",-2
"8-q10",0,0,0,0.82,30,6,5.56,"hard",0.8
"5-q3",3,3,3,0,100,6.5,8.59,"easy",2.6
"9-q1",-1.4,-2,-2,1.43,80,8,7.4,"easy",-1.2
"9-q7",1.9,3,3,1.91,80,8,7.4,"hard",0
"6-q5",-2.8,-3,-3,0.42,100,16.5,8.51,"easy",-2.2
"9-q4",-2.5,-3,-3,0.71,100,8,7.4,"easy",-2.8
"1-q9",-0.1,0,0,1.2,30,8,8.5,"hard",0
"3-q4",0.9,1,1,0.32,90,6.5,3.56,"hard",0.4
"4-q4",-2.9,-3,-3,0.32,100,11.5,7.21,"easy",-3
"10-q2",-0.5,-0.5,-2,1.84,50,9.5,8.94,"hard",0.4
"5-q10",-2.7,-3,-3,0.48,100,6.5,8.59,"easy",-2.6
"4-q2",-1.3,-0.5,0,1.49,50,11.5,7.21,"easy",-1.2
"8-q7",1.5,1,1,1.08,90,6,5.56,"hard",0
"6-q8",1.9,2,3,1.2,90,9.5,5.91,"easy",1
"10-q5",-0.1,0,0,0.74,10,5,4.38,"hard",0.2
"2-q10",1.1,1,1,1.2,80,6,2.69,"easy",1
"5-q5",1,1,1,1.15,60,8,8.23,"hard",-0.4
"8-q9",0.6,1,1,0.52,60,6,5.56,"hard",-0.8
"5-q8",2.8,3,3,0.63,100,6.5,8.59,"easy",0.8
"1-q5",-2.2,-3,-3,1.14,90,6.5,6.32,"easy",-1.2
"8-q1",-0.8,-1,-2,1.23,60,6,5.56,"hard",0
"0-q10",-2.7,-3,-3,0.48,100,5.5,5.1,"easy",-3
"10-q1",-2.1,-2.5,-3,1.1,90,5,4.38,"easy",-1
