"","Cow","date","question_num","HIT","Worker_id","GS_round","GS"
"1",7045,"5/13/21",1,0,"DW",1,2
"2",7045,"5/13/21",1,0,"DW",2,2
"3",7045,"5/13/21",1,0,"RD",1,2
"4",7045,"5/13/21",1,0,"AS",1,2
"5",7045,"5/13/21",1,0,"HE",1,2
"6",7045,"5/13/21",1,0,"DW",3,2
"7",7045,"5/13/21",1,0,"HE",2,2
"8",7045,"5/13/21",1,0,"AS",2,2
"9",7045,"5/13/21",1,0,"RD",2,2
"10",7045,"5/13/21",1,0,"SB",1,1
"11",7045,"5/13/21",1,0,"RD",3,2
"12",5087,"5/28/21",2,0,"DW",1,4
"13",5087,"5/28/21",2,0,"DW",2,4
"14",5087,"5/28/21",2,0,"RD",1,4
"15",5087,"5/28/21",2,0,"AS",1,4
"16",5087,"5/28/21",2,0,"HE",1,4
"17",5087,"5/28/21",2,0,"DW",3,4
"18",5087,"5/28/21",2,0,"HE",2,4
"19",5087,"5/28/21",2,0,"AS",2,4
"20",5087,"5/28/21",2,0,"RD",2,3
"21",5087,"5/28/21",2,0,"SB",1,4
"22",5087,"5/28/21",2,0,"RD",3,3
"23",6046,"6/4/21",3,0,"DW",1,2
"24",6046,"6/4/21",3,0,"DW",2,2
"25",6046,"6/4/21",3,0,"RD",1,2
"26",6046,"6/4/21",3,0,"AS",1,2
"27",6046,"6/4/21",3,0,"HE",1,2
"28",6046,"6/4/21",3,0,"DW",3,2
"29",6046,"6/4/21",3,0,"HE",2,2
"30",6046,"6/4/21",3,0,"AS",2,2
"31",6046,"6/4/21",3,0,"RD",2,3
"32",6046,"6/4/21",3,0,"SB",1,1
"33",6046,"6/4/21",3,0,"RD",3,2
"34",7138,"6/4/21",4,0,"DW",1,2
"35",7138,"6/4/21",4,0,"DW",2,2
"36",7138,"6/4/21",4,0,"RD",1,2
"37",7138,"6/4/21",4,0,"AS",1,3
"38",7138,"6/4/21",4,0,"HE",1,2
"39",7138,"6/4/21",4,0,"DW",3,2
"40",7138,"6/4/21",4,0,"HE",2,2
"41",7138,"6/4/21",4,0,"AS",2,3
"42",7138,"6/4/21",4,0,"RD",2,2
"43",7138,"6/4/21",4,0,"SB",1,2
"44",7138,"6/4/21",4,0,"RD",3,3
"45",6068,"5/28/21",5,0,"DW",1,2
"46",6068,"5/28/21",5,0,"DW",2,2
"47",6068,"5/28/21",5,0,"RD",1,2
"48",6068,"5/28/21",5,0,"AS",1,3
"49",6068,"5/28/21",5,0,"HE",1,3
"50",6068,"5/28/21",5,0,"DW",3,2
"51",6068,"5/28/21",5,0,"HE",2,4
"52",6068,"5/28/21",5,0,"AS",2,3
"53",6068,"5/28/21",5,0,"RD",2,2
"54",6068,"5/28/21",5,0,"SB",1,3
"55",6068,"5/28/21",5,0,"RD",3,3
"56",6029,"5/13/21",6,0,"DW",1,2
"57",6029,"5/13/21",6,0,"DW",2,2
"58",6029,"5/13/21",6,0,"RD",1,2
"59",6029,"5/13/21",6,0,"AS",1,2
"60",6029,"5/13/21",6,0,"HE",1,2
"61",6029,"5/13/21",6,0,"DW",3,2
"62",6029,"5/13/21",6,0,"HE",2,2
"63",6029,"5/13/21",6,0,"AS",2,2
"64",6029,"5/13/21",6,0,"RD",2,3
"65",6029,"5/13/21",6,0,"SB",1,1
"66",6029,"5/13/21",6,0,"RD",3,2
"67",7064,"6/4/21",7,0,"DW",1,2
"68",7064,"6/4/21",7,0,"DW",2,2
"69",7064,"6/4/21",7,0,"RD",1,2
"70",7064,"6/4/21",7,0,"AS",1,3
"71",7064,"6/4/21",7,0,"HE",1,2
"72",7064,"6/4/21",7,0,"DW",3,2
"73",7064,"6/4/21",7,0,"HE",2,2
"74",7064,"6/4/21",7,0,"AS",2,3
"75",7064,"6/4/21",7,0,"RD",2,3
"76",7064,"6/4/21",7,0,"SB",1,1
"77",7064,"6/4/21",7,0,"RD",3,2
"78",6095,"5/28/21",8,0,"DW",1,3
"79",6095,"5/28/21",8,0,"DW",2,3
"80",6095,"5/28/21",8,0,"RD",1,3
"81",6095,"5/28/21",8,0,"AS",1,3
"82",6095,"5/28/21",8,0,"HE",1,3
"83",6095,"5/28/21",8,0,"DW",3,3
"84",6095,"5/28/21",8,0,"HE",2,2
"85",6095,"5/28/21",8,0,"AS",2,3
"86",6095,"5/28/21",8,0,"RD",2,2
"87",6095,"5/28/21",8,0,"SB",1,2
"88",6095,"5/28/21",8,0,"RD",3,3
