cow_L,cow_R,cow_L_URL,cow_R_URL,pair_id,question_type,expert_answer,question_num,HIT,question_id
6025,5118,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_010421_MVI_0114_short_12_6025.MP4,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_070521_pm_MVI_0159_short_22_5118.MP4,187.0,,,q1,22,22-q1
6092,6092,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_110621_am_MVI_0192_short_17_6092.MP4,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_110621_am_MVI_0192_short_17_6092.MP4,-4.0,neg_attention,0.0,q2,22,22-q2
7128,4035,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_010421_MVI_0114_short_18_7128.MP4,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_280521_am_MVI_0178_short_47_4035.MP4,43.0,pos_attention_easy,2.0,q3,22,22-q3
7128,6092,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_010421_MVI_0114_short_18_7128.MP4,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_110621_am_MVI_0192_short_17_6092.MP4,421.0,,,q4,22,22-q4
7064,7128,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_040621_am_MVI_0183_short_8_7064.MP4,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_010421_MVI_0114_short_18_7128.MP4,336.0,,,q5,22,22-q5
6053,4008,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_110621_am_MVI_0193_short_31_6053.MP4,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_280521_am_MVI_0176_short_17_4008.MP4,78.0,,,q6,22,22-q6
7138,7136,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_040621_am_MVI_0183_short_1_7138.MP4,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_110621_am_MVI_0193_short_23_7136.MP4,398.0,,,q7,22,22-q7
4035,6053,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_280521_am_MVI_0178_short_47_4035.MP4,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_110621_am_MVI_0193_short_31_6053.MP4,103.0,,,q8,22,22-q8
6029,4035,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_130521_am_MVI_0162_short_19_6029.MP4,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_280521_am_MVI_0178_short_47_4035.MP4,127.0,,,q9,22,22-q9
7045,7109,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_130521_am_MVI_0162_short_30_7045.MP4,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_070521_am_MVI_0003_short_14_7109.MP4,91.0,,,q10,22,22-q10
