"question_id","Mean","Median","Mode","SD","direction_pct","complete_time_median","complete_time_sd","question_type","average_new_expert"
"7-q9",2.15,3,3,1.27,90,13.5,8.96,"easy",1.8
"10-q2",0.4,0,3,2.16,40,5,7.18,"hard",0.4
"6-q3",0.55,0.5,0,1.15,50,8.5,7.82,"hard",0
"2-q7",-0.8,-1,-1,1.7,60,10,9.15,"hard",0
"0-q9",-1.75,-2,-2,1.37,95,6,6.62,"easy",-1.2
"3-q8",-2.45,-3,-3,1,95,6.5,8.3,"easy",-1.8
"7-q4",0.85,1,1,1.57,60,13.5,8.96,"easy",1.8
"8-q7",1.55,2,3,1.73,80,7,6.86,"hard",0
"9-q7",1.65,2,3,1.57,80,6.5,8.14,"hard",0
"7-q9",1.3,2,3,2.08,70,10,7.4,"easy",1.8
"4-q3",-1.1,-2,-3,2.13,75,12.5,7.84,"easy",-2.2
"9-q1",-0.6,-1,-2,2.06,70,6.5,8.14,"easy",-1.2
"0-q8",0.15,0,0,1.31,35,6,6.62,"hard",-0.2
"2-q10",1.95,3,3,1.23,85,6,8.26,"easy",1
"9-q4",-1.9,-2.5,-3,1.8,90,6.5,8.14,"easy",-2.8
"4-q4",-2.85,-3,-3,0.49,100,8.5,8.04,"easy",-3
"5-q1",-1.1,-1,-3,1.86,70,9,7.54,"hard",0.8
"2-q7",-1.15,-1.5,-3,1.79,70,6,8.26,"hard",0
"6-q6",-1.05,-1,-1,1.61,85,8,6.54,"easy",-1.6
"10-q4",0.3,0,1,1.66,45,9.5,8.63,"hard",0.2
"6-q2",2.4,3,3,1.1,90,8,6.54,"easy",2.4
"4-q5",0.5,0,0,1.67,35,12.5,7.84,"hard",0.6
"4-q6",0.95,1,1,1.79,70,12.5,7.84,"hard",0.4
"2-q9",-1.6,-1,-1,0.94,95,10,9.15,"hard",-0.6
"8-q4",1.3,1,3,1.69,75,7,6.86,"easy",1.6
"10-q8",1.5,2,3,1.85,80,5,7.18,"hard",0.4
"3-q1",0.35,0,0,1.6,35,6.5,8.3,"hard",-0.6
"1-q3",-2.45,-3,-3,0.76,100,6.5,8.3,"easy",-3
"7-q2",0.1,0,3,2.36,45,10,7.4,"hard",-0.8
"1-q1",2.2,3,3,1.99,85,8,7.71,"easy",2.4
"10-q5",0.6,0,0,1.6,35,9.5,8.63,"hard",0.2
"10-q5",0.1,0,0,1.37,30,5,7.18,"hard",0.2
"3-q1",0.2,0,0,1.61,35,7,7.35,"hard",-0.6
"1-q9",0.35,0,0,1.63,45,8,7.71,"hard",0
"8-q5",1.1,1,3,1.8,55,7,6.86,"easy",1.6
"2-q4",0.4,0,0,1.47,25,6,8.26,"hard",-1
"1-q6",1.45,1,3,1.7,75,8,7.71,"easy",1.6
"6-q1",-1.1,-2,-2,2.05,75,8.5,7.82,"easy",-1.4
"10-q3",2.65,3,3,1.18,95,9.5,8.63,"easy",1.6
"7-q10",0.85,1,3,1.95,60,10,7.4,"easy",1.2
"1-q10",-2.8,-3,-3,0.41,100,8,7.71,"easy",-3
"5-q6",-2.5,-3,-3,1.4,95,7,8.65,"easy",-2.4
"0-q1",-0.9,-1,-3,2.02,70,6,6.62,"easy",-2.2
"9-q9",-0.55,0,0,1.32,40,6.5,8.14,"hard",0
"3-q9",0.85,1,1,1.57,60,7,7.35,"hard",-0.4
"5-q5",0.9,1,0,1.45,55,9,7.54,"hard",-0.4
"4-q8",0.45,0,0,1.64,40,8.5,8.04,"easy",1
"7-q1",-1.05,-1,-1,1.61,80,13.5,8.96,"hard",-0.2
"4-q2",-1.45,-2.5,-3,2.01,70,8.5,8.04,"easy",-1.2
"2-q2",2.7,3,3,0.73,100,6,8.26,"easy",2.2
"7-q8",0.75,0.5,0,1.59,50,13.5,8.96,"hard",0.4
"1-q10",-2.65,-3,-3,1.35,95,6.5,8.3,"easy",-3
"4-q5",0.55,0,0,1.85,45,8.5,8.04,"hard",0.6
"10-q8",1.85,3,3,1.5,90,9.5,8.63,"hard",0.4
"5-q10",-2.75,-3,-3,0.44,100,9,7.54,"easy",-2.6
"9-q4",-2.15,-3,-3,1.84,90,8,8.18,"easy",-2.8
"10-q2",-0.05,0,3,2.21,45,9.5,8.63,"hard",0.4
"6-q8",1.6,1,1,1.27,85,8.5,7.82,"easy",1
"6-q7",1.55,3,3,1.88,70,8.5,7.82,"easy",0.4
"3-q5",-0.55,0,0,0.83,45,6.5,8.3,"hard",0.6
"10-q7",1.35,1,3,1.66,75,5,7.18,"hard",-0.2
"7-q6",-0.85,-1,-2,1.66,70,10,7.4,"easy",-1.8
"6-q3",1.1,1,0,1.59,55,8,6.54,"hard",0
"10-q1",-1.35,-2,-3,1.93,75,9.5,8.63,"easy",-1
"4-q10",2.45,3,3,1.7,90,12.5,7.84,"easy",2.8
"4-q1",-1.1,-1,-1,1.48,75,8.5,8.04,"easy",-0.6
"3-q2",2.55,3,3,0.94,95,6.5,8.3,"easy",0.6
"0-q10",-2.85,-3,-3,0.37,100,6,6.62,"easy",-3
"8-q2",2.5,3,3,1.1,95,7,6.86,"easy",1
"0-q6",3,3,3,0,100,6,6.62,"easy",3
"10-q7",1.15,1,1,1.46,70,9.5,8.63,"hard",-0.2
"1-q7",-2.65,-3,-3,0.67,100,6.5,8.3,"easy",-2
"7-q1",-0.5,-1,-2,1.93,55,10,7.4,"hard",-0.2
"3-q4",1.25,1,1,1.16,80,6.5,8.3,"hard",0.4
"9-q6",-0.3,-0.5,0,1.81,50,6.5,8.14,"hard",0.2
"5-q5",0.9,1,1,1.12,70,7,8.65,"hard",-0.4
"6-q10",-0.95,-1,-1,1.19,70,8.5,7.82,"easy",-0.4
"0-q7",-0.65,-2,-3,2.5,60,6,6.62,"easy",-1.4
"3-q3",0.85,1,0,1.31,55,6.5,8.3,"easy",0.6
"6-q5",-2.55,-3,-3,0.94,95,8.5,7.82,"easy",-2.2
"7-q5",1.95,3,3,1.39,80,13.5,8.96,"hard",-0.4
"10-q9",-0.3,0,0,1.26,35,9.5,8.63,"hard",0
"9-q2",-0.95,-1,-1,1.93,75,6.5,8.14,"easy",-1.4
"9-q6",-0.4,-1,-1,1.54,55,8,8.18,"hard",0.2
"2-q1",-2.15,-3,-3,1.84,90,10,9.15,"easy",-2.2
"8-q1",-0.4,-1,-2,1.82,55,7,6.86,"hard",0
"2-q9",-1.6,-2,-1,1.43,90,6,8.26,"hard",-0.6
"5-q7",-2.3,-2,-3,0.73,100,7,8.65,"easy",-2
"0-q2",-1.6,-2,-3,1.47,85,6,6.62,"easy",-1.4
