"question_id","Mean","Median","Mode","SD","direction_pct","complete_time_median","complete_time_sd","question_type","average_new_expert"
"6-q5",-2.87,-3,-3,0.35,100,11,6.82,"easy",-2.2
"4-q6",1.27,1,1,1.16,73.33,8,8.71,"hard",0.4
"7-q1",-0.8,-1,-1,1.86,73.33,13,9.6,"hard",-0.2
"7-q8",0.4,0,0,1.3,33.33,10,6.36,"hard",0.4
"1-q9",0.4,0,1,1.5,46.67,8,8.04,"hard",0
"4-q1",-1.6,-2,-3,1.24,73.33,13,7.32,"easy",-0.6
"10-q7",1.27,1,1,0.96,86.67,5,7.19,"hard",-0.2
"2-q4",0.53,0,0,1.19,40,7,8.8,"hard",-1
"0-q8",0.07,0,0,1.03,26.67,6,7.34,"hard",-0.2
"2-q2",2.87,3,3,0.52,100,11,8.22,"easy",2.2
"3-q1",0.33,1,1,1.84,53.33,7,8.76,"hard",-0.6
"3-q3",0.67,1,0,1.54,53.33,7,8.76,"easy",0.6
"5-q6",-2.33,-3,-3,0.82,100,9,9.08,"easy",-2.4
"8-q2",2.27,3,3,1.44,93.33,7,6.87,"easy",1
"3-q9",0.13,0,0,1.25,33.33,7,6.05,"hard",-0.4
"1-q6",1.07,1,0,1.33,60,8,8.04,"easy",1.6
"2-q9",-1.4,-2,-1,1.64,86.67,11,8.22,"hard",-0.6
"5-q5",0.8,0,0,1.21,40,9,9.08,"hard",-0.4
"4-q3",-2.07,-3,-3,1.33,86.67,8,8.71,"easy",-2.2
"10-q9",-0.47,0,0,1.51,40,5,7.19,"hard",0
"3-q4",1.67,1,1,1.23,93.33,7,8.76,"hard",0.4
"5-q3",3,3,3,0,100,9,9.08,"easy",2.6
"9-q5",-2.93,-3,-3,0.26,100,8,9.22,"easy",-3
"6-q8",1.93,1,1,1.03,100,11,6.82,"easy",1
"7-q2",-0.4,-1,-2,2.38,60,10,6.36,"hard",-0.8
"9-q6",-0.93,-1,0,1.39,53.33,6,6.37,"hard",0.2
"4-q3",-1.8,-2,-3,1.7,86.67,13,7.32,"easy",-2.2
"3-q2",2.87,3,3,0.52,100,7,6.05,"easy",0.6
"3-q5",-0.4,0,0,1.06,40,7,8.76,"hard",0.6
"0-q1",-1.33,-2,-2,1.11,73.33,6,4.95,"easy",-2.2
"10-q2",0.33,0,0,2.02,40,7,8.99,"hard",0.4
"6-q1",-1.33,-2,-3,1.99,80,9,8.39,"easy",-1.4
"1-q7",-2.87,-3,-3,0.35,100,6,7.67,"easy",-2
"2-q4",-0.2,0,0,1.7,33.33,11,8.22,"hard",-1
"6-q10",-0.47,-1,-2,1.51,53.33,9,8.39,"easy",-0.4
"9-q2",-1.2,-1,-1,1.47,86.67,6,6.37,"easy",-1.4
"9-q7",1.67,1,1,1.18,86.67,6,6.37,"hard",0
"8-q1",-1.13,-1,-2,0.99,73.33,7,6.87,"hard",0
"5-q10",-2.53,-3,-3,0.74,100,9,9.08,"easy",-2.6
"7-q1",-0.87,-1,-1,1.13,60,10,6.36,"hard",-0.2
"3-q8",-2.4,-2,-3,0.63,100,7,6.05,"easy",-1.8
"3-q4",1.33,1,1,1.35,73.33,7,6.05,"hard",0.4
"9-q1",-1.67,-2,-2,1.54,86.67,6,6.37,"easy",-1.2
"10-q3",2.4,3,3,1.4,93.33,5,7.19,"easy",1.6
"0-q6",3,3,3,0,100,6,4.95,"easy",3
"4-q4",-2.73,-3,-3,0.46,100,13,7.32,"easy",-3
"7-q5",1.6,1,3,1.45,73.33,13,9.6,"hard",-0.4
"5-q1",-1,-1,0,1.2,60,9,9.08,"hard",0.8
"6-q6",-1.73,-2,-2,0.7,100,11,6.82,"easy",-1.6
"10-q4",0.67,0,3,1.68,46.67,5,7.19,"hard",0.2
"5-q1",-0.93,-1,-1,2.05,73.33,8,6.5,"hard",0.8
"3-q1",-0.07,0,0,1.22,20,7,6.05,"hard",-0.6
"8-q7",1.67,1,3,1.5,86.67,7,6.87,"hard",0
"0-q2",-1.4,-1,-1,0.99,80,6,4.95,"easy",-1.4
"3-q9",1.33,1,1,1.29,66.67,7,8.76,"hard",-0.4
"3-q10",-0.53,-1,-1,1.25,60,7,6.05,"hard",0
"5-q2",-2.33,-2,-2,0.62,100,9,9.08,"easy",-1.8
"8-q10",-0.13,0,0,1.25,26.67,8,4.78,"hard",0.8
"0-q9",-1.6,-1,-1,0.91,93.33,6,4.95,"easy",-1.2
"8-q7",1.2,1,1,0.77,93.33,8,4.78,"hard",0
"5-q6",-2.93,-3,-3,0.26,100,8,6.5,"easy",-2.4
"4-q6",1.73,1,1,1.1,93.33,13,7.32,"hard",0.4
"3-q10",-0.27,-1,-1,1.1,53.33,7,8.76,"hard",0
"6-q2",2.67,3,3,0.9,93.33,11,6.82,"easy",2.4
"0-q10",-2.8,-3,-3,0.41,100,6,7.34,"easy",-3
"7-q10",1.13,1,1,1.06,73.33,10,6.36,"easy",1.2
"1-q1",2.6,3,3,1.55,93.33,6,7.67,"easy",2.4
"0-q4",0.4,0,0,2.06,46.67,6,7.34,"hard",-1
"2-q6",2.87,3,3,0.52,100,11,8.22,"easy",3
"5-q7",-2.2,-2,-3,0.94,93.33,8,6.5,"easy",-2
"1-q10",-2.87,-3,-3,0.35,100,6,7.67,"easy",-3
"10-q1",-1.8,-2,-2,0.94,93.33,7,8.99,"easy",-1
"5-q3",3,3,3,0,100,8,6.5,"easy",2.6
"6-q6",-1.27,-1,-1,1.03,86.67,9,8.39,"easy",-1.6
"9-q9",-0.8,0,0,1.08,46.67,8,9.22,"hard",0
"2-q1",-2.73,-3,-3,0.46,100,7,8.8,"easy",-2.2
"1-q9",0.13,0,0,1.06,40,6,7.67,"hard",0
"3-q5",-0.53,0,0,1.46,46.67,7,6.05,"hard",0.6
"2-q10",1.33,1,1,1.18,86.67,7,8.8,"easy",1
"10-q4",0.2,0,0,1.32,40,7,8.99,"hard",0.2
"6-q3",0.73,1,1,1.44,53.33,11,6.82,"hard",0
"1-q5",-1.8,-1,-1,1.08,93.33,8,8.04,"easy",-1.2
"7-q9",2.4,3,3,1.06,93.33,10,6.36,"easy",1.8
"1-q3",-2.73,-3,-3,0.59,100,6,7.67,"easy",-3
"7-q2",-0.6,-1,0,2.16,53.33,13,9.6,"hard",-0.8
"1-q6",2.13,3,3,1.13,93.33,6,7.67,"easy",1.6
"7-q8",0.6,0,0,1.5,46.67,13,9.6,"hard",0.4
"0-q7",-0.93,-2,-3,2.37,66.67,6,7.34,"easy",-1.4
